SEXO;EDAD;P1;RECUVOTOG1R;ESCIDEOL;NIVELESTENTREV;RELIGION;SITLAB;RELALAB;CNO11;INGRESHOG
1;63;5;3;10;11;2;1;1;2;3
1;30;1;21;2;13;5;1;1;2;4
1;31;5;3;10;4;6;1;1;7;5
1;30;4;2;7;13;4;1;1;1;2
1;48;2;1;3;5;4;1;1;4;2
1;21;4;2;7;6;1;1;1;9;8
1;55;2;3;10;9;2;1;3;2;4
1;33;5;3;5;12;2;1;1;3;4
2;56;3;3;9;6;2;1;2;5;3
1;36;4;2;6;5;5;1;1;3;1
1;40;1;1;1;7;6;8;0;0;1
1;60;1;1;4;4;2;4;0;0;6
2;86;1;1;1;4;2;3;0;0;5
2;76;1;1;4;4;2;7;0;0;4
1;57;5;2;99;6;2;1;2;1;4
2;18;2;21;5;6;5;1;1;5;3
2;60;1;1;3;5;2;1;1;3;4
1;28;3;1;4;13;5;5;0;0;4
1;63;1;1;1;4;2;2;0;0;4
2;67;5;3;7;9;2;2;0;0;2
1;42;4;3;5;11;2;1;1;3;5
1;42;1;1;3;9;2;1;1;3;2
1;35;1;2;7;13;1;5;0;0;6
1;49;2;21;2;9;5;1;3;3;4
2;57;2;1;1;3;1;1;1;4;6
1;65;5;3;10;14;1;1;1;2;1
2;56;1;2;6;8;6;1;1;7;4
2;56;1;1;1;7;2;1;1;3;4
1;50;1;1;3;7;6;1;1;3;4
1;72;5;3;7;11;1;2;0;0;9
1;67;4;2;6;3;1;2;0;0;4
2;31;4;2;8;13;1;1;1;1;1
2;53;1;2;10;5;2;2;0;0;2
2;89;2;1;1;4;2;2;0;0;6
1;25;2;2;10;7;6;1;3;7;3
1;96;4;2;9;12;1;2;0;0;8
1;54;2;3;7;11;2;1;3;2;9
1;42;1;2;8;4;2;2;0;0;5
2;68;1;1;4;10;6;2;0;0;3
1;34;2;1;5;13;6;1;1;1;1
2;53;1;2;8;14;1;1;3;2;5
1;47;1;3;6;5;4;1;1;3;3
1;53;2;2;6;7;2;1;1;7;5
2;65;2;1;2;9;1;2;0;0;1
1;71;2;2;6;11;1;2;0;0;2
1;27;1;1;3;13;6;1;1;2;5
1;61;2;2;6;13;2;1;1;2;1
2;65;1;21;1;13;6;2;0;0;4
2;66;2;2;8;5;1;2;0;0;2
1;47;2;2;5;4;5;1;1;7;4
1;45;1;21;4;14;6;1;1;1;2
2;62;1;1;1;7;2;2;0;0;4
2;47;1;1;4;13;2;1;1;1;1
2;62;2;1;5;5;2;4;0;0;4
2;45;4;2;8;11;2;4;0;0;2
2;53;2;2;5;2;2;4;0;0;6
1;58;2;21;5;9;2;4;0;0;4
1;55;2;2;6;6;2;1;1;3;1
2;58;1;21;3;9;6;1;1;2;4
2;62;1;2;10;5;1;1;3;3;3
1;56;1;2;5;13;2;1;2;2;1
1;50;4;3;7;11;1;1;1;3;5
1;45;2;21;3;7;5;1;1;3;5
1;62;1;1;4;7;2;1;2;1;3
2;25;2;2;5;7;2;1;1;4;2
2;37;1;1;4;11;6;1;1;2;3
2;47;1;21;3;11;2;1;1;2;1
1;45;2;1;1;9;2;1;1;3;6
2;31;1;1;1;13;6;1;1;2;6
1;45;5;3;5;7;6;1;1;7;3
1;89;2;1;7;1;1;2;0;0;5
1;76;4;1;4;6;2;2;0;0;3
